ProductID,Shade Color
23013,
23014,
23015,
23016,
23017,
23018,
23019,
23020,
23021,
23022,
230247,Black Tones
23026,
23028,
23031,
23048,
23049,
23050,
23051,
23052,
230557,White Tones
23058,
23059,
230593,White Tones
23061,
23062,White Tones
23063,
23064,
23065,White Tones
23066,White Tones
23067,
23068,
23069,
23070,
230702,White Tones
23071,
230712,Beige / Cream Tones
230713,Beige / Cream Tones
23072,
23073,
23074,
230751,
230823,Art Glass
23090,
23091,
230936,Clear
23095,
23096,
230986,
231043,Beige / Cream Tones
23106,
23107,
23108,
231087,Clear
231244,White Tones
23126,
23127,
23129,
23130,
23131,
23132,
23133,
23135,
231468,Beige / Cream Tones
23149,
23151,
23153,
23154,
23157,
23158,
23160,
23164,
23165,
23166,
23167,
23168,
23169,
23171,
23173,
231768,
23182,
23183,
23186,
23187,
231878,Clear
23188,
23189,
23190,
23191,
23192,
23195,
23196,
23197,
23200,
23201,
23206,
23207,
232077,White Tones
23208,
23209,
232099,Clear
23210,
23211,
23212,
23213,
23216,
23217,
23218,
232325,Beige / Cream Tones
232334,Amber Tones
232370,White Tones
232372,White Tones
232376,White Tones
232407,White Tones
232525,White Tones
23261,
23262,
23263,
232632,Beige / Cream Tones
232638,Beige / Cream Tones
23264,
23266,
23267,
23269,
23272,
23275,
23276,
23278,
23279,
23291,
23292,
23310,
23311,
23312,
233238,None
23339,White Tones
233636,Brown tones
234200,Beige / Cream Tones
234231,Clear
234355,Amber Tones
234509,White Tones
234510,White Tones
234511,White Tones
234512,White Tones
234932,White Tones
235059,White Tones
235131,Multi-Color
235165,White Tones
235171,Amber Tones
235172,Amber Tones
235174,Beige / Cream Tones
235191,Amber Tones
235516,Clear
235585,
235613,Beige / Cream Tones
235691,Beige / Cream Tones
235694,Beige / Cream Tones
235848,Beige / Cream Tones
235998,Amber Tones
236063,Clear
236215,
236228,
236230,
236231,
236301,
236343,
236347,
236349,
236356,
236363,
236364,White Tones
236367,
236590,White Tones
236627,
236630,
236631,
236632,
236634,
236638,
236643,White Tones
236649,
236650,
236653,
236655,
236656,
236658,
236668,
236669,White Tones
236672,
236675,
236676,
236710,White Tones
236713,
236714,
236715,
236716,
236720,
236721,
236723,
236725,
236726,
236799,Silver Tones
236800,Silver Tones
236808,White Tones
237097,
238099,White Tones
238138,
238298,Clear
238877,Beige / Cream Tones
238878,Beige / Cream Tones
239674,White Tones
239998,White Tones
240031,White Tones
240717,White Tones
240761,
241284,White Tones
241957,Beige / Cream Tones
242193,Amber Tones
242242,Bronze Tones
242622,White Tones
242907,White Tones
243391,White Tones
243449,Alabaster Glass
243450,Alabaster Glass
243455,Alabaster Glass
243458,Alabaster Glass
243546,Gold Tones
243813,White Tones
244228,White Tones
244281,Art Glass
244530,White Tones
244657,White Tones
244939,Alabaster Glass
244940,Brown tones
244942,Brown tones
244943,Amber Tones
244944,Amber Tones
244945,Brown tones
244946,Amber Tones
244947,Amber Tones
245062,Amber Tones
245128,Brown tones
245129,Amber Tones
245130,Brown tones
245131,Amber Tones
245848,Beige / Cream Tones
245849,Beige / Cream Tones
245852,Purple Tones
245853,Black Tones
245855,Black Tones
245857,Black Tones
245903,White Tones
246011,Amber Tones
246270,Bronze Tones
246413,Brown tones
246423,Brown tones
246426,Brown tones
246477,White Tones
246478,White Tones
