ProductID,Tier
258513,
258715,
258716,2.0
258728,
258760,
259033,
259223,
259267,
259516,
259866,
259876,
259887,
259888,
259917,
260085,
260510,
260737,
261293,1.0
261500,2.0
261533,
261582,
261784,
262155,
262182,
262187,
262190,
262198,
262199,
262211,
262227,
262231,
262237,
262251,
262609,1.0
262622,
262633,2.0
262643,
262732,1.0
262816,
263011,
263016,
263022,
263084,
263126,
263543,
263544,
263545,
263546,
263627,
263662,
263664,
263668,
263671,
263676,
263677,
263681,
263683,
263685,
263686,
263789,
263794,
263989,2.0
263991,
263992,
263993,1.0
263994,
264004,
264124,1.0
264231,
265206,
265213,
265214,
266758,
266791,
267002,
267185,
267348,
267607,
267755,
267963,
268018,
268947,
269035,
269159,
269318,
269320,
269392,
269492,
269518,
269735,
269760,
269811,
270048,
270359,2.0
270360,
270370,1.0
270427,
270438,
270499,
271048,
271288,
271749,
271836,
271840,
271844,
271846,
271847,
271849,
271852,1.0
272061,
272159,
272225,3.0
272466,2.0
272479,
272486,
272491,
272541,
272544,
272562,
272584,
272595,
272596,
272597,
272598,
272599,
272613,
272615,
272631,
273432,
273474,3.0
273676,
274418,
274421,
274423,
274436,
274780,
274824,
275341,
275344,
275347,
275350,
275370,
275440,
275957,
2760,
276079,
276355,
276858,
2770,
277350,
277351,
277356,
277407,
277409,
2775,
277509,
277511,
277742,
277754,
277768,
277919,
278048,
278073,
278130,
278137,
278160,
278161,
278185,
278212,
278353,
278394,
278395,
278402,
278681,
278687,
278690,
278691,
278693,
278694,
278696,
278697,
278707,
278709,
278717,
278718,
278722,
278723,
278728,
278729,
278730,
278731,
278732,
278733,
278734,
278735,
278736,
278737,
278739,
278740,
278742,
278743,
278753,
278755,
278756,
278757,
278758,
278851,
278895,
279270,
279594,
279605,
279606,
279607,
279608,
279613,
279638,3.0
279640,3.0
279667,
279678,
279687,
279861,
279972,
280026,
280730,
281002,
281008,
281392,
282002,
282240,
282241,
282303,
282310,
282961,
283043,
283136,
283333,1.0
283561,
283584,
283886,3.0
283974,2.0
283983,
283988,
283991,1.0
283992,
283998,
284,
284000,
284144,3.0
284209,
284262,
284265,
284269,4.0
284279,
284283,
284358,
284362,
284363,
284396,
284397,
284471,
284493,
284498,
284531,
284558,
284563,
284574,
284612,
284615,
284620,
284626,
284637,
284645,
284655,
284785,
284851,
284852,
284856,
284868,
284907,
285488,
285749,
285827,
285833,
285835,
285837,
285841,
285844,
285847,
285865,
285866,
285869,
285873,
285874,
285876,
285877,
285878,
286472,
286849,
286886,
287036,
287039,
287041,
287042,
287972,
288552,
288624,
288796,
288810,
288991,
289,
289028,
289100,
289472,
289479,
289572,
289574,
289819,
290015,
290166,
290270,
290271,
290273,
290768,
290905,
291019,
291396,
292550,
293335,
295527,3.0
295622,
295654,
295734,
295925,1.0
296505,
296930,
297956,
297963,
297964,
298283,
298456,
298631,
298883,
298884,
299457,
299463,
299467,
299512,
300657,
300746,
300751,
300754,
301882,
302112,
302247,
302482,
305223,
307091,
307827,1.0
307900,
307937,3.0
307991,
308004,
308071,1.0
308336,1.0
308337,
308339,
308469,
308471,
308570,
309260,
311023,
312362,
312399,
312404,
312408,
312410,
312437,
312438,
312439,
312440,
312455,
312456,
312457,
312459,
312460,
312461,
312474,
312739,
313018,
314475,
314476,
314477,
314478,
314479,
314480,
314482,
314485,
314486,
314488,
314489,
314490,
314812,
315962,
3164,
317042,
317286,
318194,
318375,
318685,
318773,
318824,
318854,1.0
318855,
318857,
319545,
319594,
319840,
321063,
321360,
321371,
321835,
322824,
323093,1.0
323094,2.0
323101,
323103,
323104,
323105,
323107,
323117,
323126,2.0
323154,
323155,
323158,
323454,
323472,
323548,
323673,
323674,
323947,
324036,
325203,
325567,
325568,
325589,
325590,
326095,
326202,
326350,
327781,
327782,
327839,
327844,
327849,
327932,
327938,
327939,
328129,
328138,
328655,
328659,
328661,
328724,
328751,
328753,
328818,
328843,
328898,
328905,
329979,
330046,
330047,
330083,
330085,
330092,
330135,
330175,
330180,
330189,
330464,
330465,
330467,
330468,
330473,
330475,
330477,
330478,
330483,
330492,
330495,
330498,
330502,
330601,
330602,
330702,
330756,
330759,
331454,
331457,
331459,
332205,
332323,
332548,
332555,
332558,
332905,
334928,
334933,2.0
334936,
334941,
335000,
335011,
335138,
335141,
335145,
335147,
335154,
335157,
335158,
336,
336336,
337512,
337534,
337837,
337954,
337957,
337958,
337960,
337962,
337963,
338443,
338527,
338529,
338532,
338534,
338583,
338671,
338680,
338683,
338686,
338687,
338688,
338694,
338695,
338697,
338699,
338707,
338988,
339173,
339298,
339532,
339538,
339715,
340253,
340278,
340397,
340492,1.0
340723,
340726,
340727,
340728,
340729,
340730,
340731,
340752,
340763,
340764,
341321,
341838,
341893,
342108,
342114,
342116,
342197,
342432,
342782,
342785,
342790,
342793,
342794,
342795,
342796,
342905,
342907,
342910,
342955,
343206,
343455,
343458,
343462,
343476,
343478,
343496,
343510,
343511,
343514,
343515,
343523,
343956,
343961,
344395,
344398,
344399,
344401,
344402,
344403,
344406,
344407,
344436,
344437,
344513,
344514,
344552,
344554,
344555,
344557,
344560,
344729,
344746,3.0
344769,
346258,
346388,1.0
346689,
346691,
346692,
346694,2.0
346695,2.0
346697,
346771,3.0
346773,3.0
346783,
346786,
346788,
347178,
347185,
347186,
347187,
347188,
347190,
347192,
347787,
347824,
347884,
347897,
347916,
347917,
347933,
347958,
348309,
348598,
349464,
349465,
349520,
349535,
349941,
350506,
350507,
350623,
351258,
351404,
351405,
352288,1.0
352311,1.0
352313,2.0
352316,2.0
352317,
352318,
352537,
353066,
353067,
353088,
353090,
353247,
353275,
353279,
353285,
353302,
353309,
353310,
353315,
353319,
353344,
353348,
353349,
353350,
353354,1.0
353356,1.0
353410,
353552,
353588,
353656,
353657,
353688,
353693,
353695,
353708,
353712,
353760,
353763,
353764,
353785,
353835,
353840,
353858,
353859,
353961,
354069,
354073,
354075,
354078,
354083,
354095,
